Year,LocationAbbrev,LocationDesc,Population,Topic,Measure,Submeasure,Data Value Unit,Domestic,Imports,Total,Domestic Per Capita,Imports Per Capita,Total Per Capita
2017,US,National,252063800,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,2462689,202108,2664797,0,0,0
2017,US,National,252063800,Combustible Tobacco,Cigars,Total Cigars,Cigars,5583269110,7810598000,13393867110,22,31,53
2017,US,National,252063800,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,1212400738,99499323,1311900062,5,0,5
2017,US,National,252063800,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,263359518483,17581121431,280940639914,1045,70,1115
2017,US,National,252063800,Combustible Tobacco,Cigars,Large Cigars,Cigars,5168609318,7785400000,12954009318,21,31,51
2017,US,National,252063800,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,37536971,3867574,41404545,0,0,0
2017,US,National,252063800,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,17267338831,1804537108,19071875938,69,7,76
2018,US,National,253768092,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,17053336615,3637090954,20690427569,67,14,82
2018,US,National,253768092,Combustible Tobacco,Cigars,Small Cigars,Cigars,356149968,31354000,387503968,1,0,2
2018,US,National,253768092,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,32689197,7243901,39933098,0,0,0
2018,US,National,253768092,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,16781079,1285902,18066981,0,0,0.071
2018,US,National,253768092,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,226916084039,8403294000,235319378039,894,33,927
2018,US,National,253768092,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,115535322,590382,116125704,0,0,0
2018,US,National,253768092,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,1950393,143940,2094333,0,0,0
2018,US,National,253768092,Combustible Tobacco,Cigars,Total Cigars,Cigars,5374762646,7783217615,13157980261,21,31,52
2018,US,National,253768092,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,960193477,70862769,1031056246,4,0,4
2018,US,National,253768092,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,249344183300,19823602569,269167785869,983,78,1061
2018,US,National,253768092,Combustible Tobacco,Cigars,Large Cigars,Cigars,5018612678,7751863615,12770476293,20,31,50
2018,US,National,253768092,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,34639590,7387841,42027431,0,0,0
2018,US,National,253768092,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,16093143138,3566228185,19659371323,63,14,77
