,Year,Combustible,Type,Subtype,Unit,Domestic,Imports,Total
62,2004,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,16591236.000625001,1515144.9990625,18106380.9996875
63,2004,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,16591236.0,1515145.0,18106381.0
64,2004,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,42940196.0,208894.0,43149090.0
65,2005,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,3890783.0,1030224.999375,4921007.999375001
66,2005,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,19388294.00015625,3030222.0,22418516.00015625
67,2005,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,3890783.0,1030225.0,4921008.0
68,2005,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,80241576.0,11018.0,80252594.0
69,2005,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,38883276.0,315916.0,39199192.0
70,2005,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,15497511.0,1999997.0,17497508.0
71,2005,Combustible Tobacco,Cigars,Small Cigars,Cigars,15323917.00125,798090.3125,16122007.31375
72,2005,Combustible Tobacco,Cigars,Large Cigars,Cigars,18004187.845312502,2647661.25,20651849.095312502
73,2005,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,15497511.00015625,1999997.000625,17497508.00078125
74,2005,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,19388294.0,3030222.0,22418516.0
75,2005,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,773322107.2504687,41589400.125,814911507.3754687
76,2005,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,737269760.8270313,36836302.34375,774106063.1707813
77,2005,Combustible Tobacco,Cigars,Total Cigars,Cigars,33328104.8465625,3445751.5625,36773856.409062505
78,2006,Combustible Tobacco,Cigars,Total Cigars,Cigars,35204913.07125,4334720.0,39539633.07125
79,2006,Combustible Tobacco,Cigars,Large Cigars,Cigars,18295892.6678125,3230227.8125,21526120.4803125
80,2006,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,16315997.99984375,1139660.00078125,17455658.000625
81,2006,Combustible Tobacco,Cigars,Small Cigars,Cigars,16909020.4034375,1104492.1875,18013512.5909375
82,2006,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,740262852.4707813,32817791.09375,773080643.5645313
83,2006,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,38862076.0,235747.0,39097823.0
84,2006,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,3276919.99984375,1439422.99921875,4716342.9990625
85,2006,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,777458227.0060937,37564234.09375,815022461.0998437
86,2006,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,16315998.0,1139660.0,17455658.0
87,2006,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,3276920.0,1439423.0,4716343.0
88,2006,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,86576507.0,63497.0,86640004.0
89,2006,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,19592917.9996875,2579083.0,22172000.9996875
90,2006,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,19592918.0,2579083.0,22172001.0
91,2007,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,17283788.0,1658991.0,18942779.0
92,2007,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,20423605.9990625,3521303.0003125,23944908.999375
93,2007,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,3139818.0003125,1862311.9998437501,5002130.00015625
94,2007,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,20423606.0,3521303.0,23944909.0
95,2007,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,3139818.0,1862312.0,5002130.0
96,2007,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,17283788.00078125,1658991.00046875,18942778.99921875
97,2007,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,707519891.1665626,26959566.5625,734479457.7290626
98,2007,Combustible Tobacco,Cigars,Large Cigars,Cigars,18925835.215625,3611578.75,22537413.965625
99,2007,Combustible Tobacco,Cigars,Total Cigars,Cigars,38627442.7621875,4875824.6875,43503267.4496875
100,2007,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,88266593.0,101194.0,88367787.0
101,2007,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,747257218.5467187,32918781.9065625,780176000.4532813
102,2007,Combustible Tobacco,Cigars,Small Cigars,Cigars,19701607.5465625,1264245.9375,20965853.4840625
103,2007,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,35086655.0,217387.0,35304042.0
104,2008,Combustible Tobacco,Cigars,Small Cigars,Cigars,22225761.358125,1665109.0625,23890870.420625
105,2008,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,94596853.0,221808.0,94818661.0
106,2008,Combustible Tobacco,Cigars,Total Cigars,Cigars,41208753.015625,5663754.6875,46872507.703125
107,2008,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,23466898.0,3562922.0006250003,27029820.000625
108,2008,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,3176767.99984375,2075034.0,5251801.99984375
109,2008,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,681249377.1565626,22415254.0625,703664631.2190626
110,2008,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,725320164.1643751,28810053.406875,754130705.0712501
111,2008,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,33123840.0,322100.0,33445940.0
112,2008,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,3176768.0,2075034.0,5251802.0
113,2008,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,23466898.0,3562922.0,27029820.0
114,2008,Combustible Tobacco,Cigars,Large Cigars,Cigars,18982991.6575,3998645.625,22981637.282500003
115,2008,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,20290130.00015625,1487888.000625,21778018.00078125
116,2008,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,20290130.0,1487888.0,21778018.0
117,2009,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,94762149.0,291606.0,95053755.0
118,2009,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,30228068.0,197018.0,30425086.0
119,2009,Combustible Tobacco,Cigars,Large Cigars,Cigars,32426483.041875,7321230.3125,39747713.354375005
120,2009,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,669278844.6885937,25660702.84375,694939547.5323437
121,2009,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,10724841.0,1982058.0,12706899.0
122,2009,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,22284207.0,2621788.0,24905995.0
123,2009,Combustible Tobacco,Cigars,Total Cigars,Cigars,41163571.141875,8100730.625,49264301.766875
124,2009,Combustible Tobacco,Cigars,Small Cigars,Cigars,8737088.1,779500.3125,9516588.4125
125,2009,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,10724840.99984375,1982058.0,12706898.99984375
126,2009,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,626412852.1178125,18988549.53125,645401401.6490625
127,2009,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,11559366.0,639730.0,12199096.0
128,2009,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,22284206.99984375,2621788.0,24905994.99984375
129,2009,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,11559366.0,639730.0,12199096.0
130,2010,Combustible Tobacco,Cigars,Large Cigars,Cigars,40385117.280625,9529617.5,49914734.780625
131,2010,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,27422318.0,192666.0,27614984.0
132,2010,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,22266231.0,2822446.99953125,25088677.99953125
133,2010,Combustible Tobacco,Cigars,Small Cigars,Cigars,3667334.9943750002,324894.375,3992229.3693750002
134,2010,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,22266231.0,2822447.0,25088678.0
135,2010,Combustible Tobacco,Cigars,Total Cigars,Cigars,44052452.275,9854511.875,53906964.15
136,2010,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,644871200.7867187,23895945.15546875,668767145.9442188
